0.737,0.736,0.732,0.773,0.757,0.753,0.729,0.727,0.748,0.771,0.836
0.939,0.942,0.939,0.915,0.914,0.893,0.893,0.881,0.858,0.88,0.896
0.968,0.976,0.971,0.945,0.918,0.889,0.86,0.897,0.903,0.925,0.918
0.99,0.986,0.962,0.927,0.902,0.891,0.897,0.904,0.916,0.918,0.919
0.994,0.99,0.963,0.931,0.879,0.888,0.908,0.899,0.924,0.937,0.927
0.993,0.987,0.951,0.899,0.871,0.884,0.899,0.915,0.934,0.933,0.946
0.997,0.993,0.945,0.902,0.885,0.899,0.911,0.928,0.928,0.942,0.942
0.996,0.99,0.937,0.892,0.887,0.902,0.922,0.916,0.927,0.942,0.932
0.997,0.982,0.933,0.885,0.887,0.894,0.919,0.931,0.941,0.943,0.942
0.999,0.979,0.887,0.877,0.893,0.898,0.898,0.925,0.949,0.941,0.938
0.999,0.975,0.895,0.875,0.898,0.918,0.919,0.922,0.937,0.93,0.957
0.999,0.973,0.88,0.874,0.894,0.905,0.946,0.938,0.945,0.946,0.94
0.998,0.969,0.9,0.88,0.906,0.912,0.93,0.939,0.936,0.93,0.918
0.999,0.973,0.881,0.886,0.905,0.928,0.934,0.934,0.941,0.947,0.946
1.0,0.958,0.893,0.887,0.902,0.92,0.941,0.941,0.933,0.938,0.955
0.998,0.954,0.902,0.88,0.915,0.929,0.922,0.935,0.932,0.956,0.945
1.0,0.943,0.855,0.903,0.907,0.928,0.925,0.95,0.936,0.94,0.931
1.0,0.943,0.877,0.898,0.928,0.929,0.927,0.934,0.945,0.935,0.954
0.999,0.947,0.869,0.896,0.914,0.922,0.935,0.943,0.942,0.951,0.949
0.999,0.937,0.893,0.896,0.921,0.928,0.934,0.936,0.944,0.944,0.935
