Shapley,variance,CIL,CIU,type,year,feature
0.18873028527229918,0.40274460476484386,0.15286864556664537,0.224591924977953,near,2019,CBD
0.001159794237652332,-0.0005783707156554543,-0.00019920253405382362,0.0025187910093584878,near,2019,images
0.09115378831968045,0.22845555845779525,0.06414431336239465,0.11816326327696625,near,2019,land
0.0024088784822805863,0.003883179894797764,-0.0011124702140394502,0.005930227178600623,near,2019,school
0.022516611199733146,0.04854051700537726,0.010066664957310963,0.03496655744215533,near,2019,station
0.06815780060404482,0.1711527800201927,0.044779805883520526,0.09153579532456911,near,2019,room
0.03353435728249939,0.08947468491307747,0.014543186926012728,0.05252552763898606,far,2019,CBD
0.012532719207736746,0.030515756480348162,0.0014418978274516464,0.023623540588021845,far,2019,images
0.1396294718422929,0.3343050978388809,0.10292042227773676,0.17633852140684905,far,2019,land
0.0019039003882989792,0.0031243211735174636,-0.0016448828787497306,0.005452683655347689,far,2019,school
0.0008910680112312553,-0.0019763543630395364,-0.001931432629041397,0.0037135686515039072,far,2019,station
0.18596818009173388,0.4098872505278753,0.14532067953898006,0.2266156806444877,far,2019,room
0.1971128431899918,0.40612377165650154,0.1678669506822148,0.22635873569776882,near,2020,CBD
0.005144851287090979,0.010755680583848029,0.00038542481123777367,0.009904277762944185,near,2020,images
0.09008058550398963,0.21845904067559369,0.06863091204151632,0.11153025896646294,near,2020,land
0.0020503953818732028,0.0027649941491044144,-0.000362746083983101,0.004463536847729507,near,2020,school
0.027219506392550417,0.06112244043280545,0.015873683055058947,0.038565329730041883,near,2020,station
0.06543045810454406,0.1606203132369743,0.04703816377467689,0.08382275243441123,near,2020,room
0.09150260139572464,0.2413099607173696,0.06286105293312431,0.12014414985832496,far,2020,CBD
0.02020406077280461,0.05296263237616884,0.006785879628220871,0.03362224191738835,far,2020,images
0.13361197719891313,0.32847184317170053,0.1001957093771747,0.16702824502065156,far,2020,land
0.0004087175251072347,-0.0030779793034562877,-0.002826039888780948,0.0036434749389954177,far,2020,school
0.004268177786714969,0.004490848614165591,0.0003609108989641868,0.008175444674465751,far,2020,station
0.12321635910868561,0.3022968575089172,0.09115915181300858,0.15527356640436263,far,2020,room
