0.999,0.941,0.881,0.88,0.909,0.92,0.937,0.944,0.937,0.937,0.955
1.0,0.882,0.89,0.927,0.937,0.948,0.953,0.953,0.948,0.943,0.953
1.0,0.872,0.906,0.944,0.936,0.936,0.955,0.948,0.959,0.938,0.948
1.0,0.856,0.928,0.932,0.936,0.932,0.945,0.944,0.947,0.955,0.959
0.999,0.889,0.908,0.922,0.948,0.953,0.942,0.951,0.946,0.954,0.956
0.999,0.879,0.922,0.919,0.939,0.936,0.949,0.954,0.968,0.947,0.942
1.0,0.902,0.924,0.946,0.941,0.955,0.944,0.956,0.957,0.951,0.948
0.999,0.908,0.942,0.941,0.96,0.94,0.952,0.944,0.945,0.96,0.951
1.0,0.909,0.941,0.946,0.94,0.933,0.935,0.954,0.949,0.957,0.948
0.999,0.905,0.935,0.938,0.941,0.938,0.959,0.942,0.96,0.955,0.957
1.0,0.915,0.94,0.957,0.943,0.942,0.956,0.954,0.944,0.953,0.944
1.0,0.927,0.946,0.942,0.933,0.95,0.942,0.94,0.95,0.956,0.952
1.0,0.902,0.951,0.942,0.951,0.942,0.943,0.951,0.942,0.937,0.95
1.0,0.929,0.933,0.944,0.953,0.946,0.952,0.943,0.953,0.952,0.945
0.999,0.913,0.933,0.951,0.948,0.943,0.957,0.959,0.96,0.944,0.947
1.0,0.928,0.94,0.952,0.949,0.949,0.949,0.964,0.954,0.952,0.954
1.0,0.905,0.943,0.951,0.954,0.956,0.935,0.96,0.949,0.947,0.952
1.0,0.923,0.924,0.95,0.943,0.936,0.942,0.958,0.95,0.942,0.957
1.0,0.924,0.956,0.942,0.951,0.943,0.948,0.941,0.951,0.934,0.939
1.0,0.917,0.927,0.948,0.93,0.954,0.942,0.958,0.934,0.953,0.953
1.0,0.933,0.944,0.955,0.953,0.952,0.946,0.952,0.958,0.951,0.952
1.0,0.92,0.941,0.944,0.935,0.948,0.951,0.949,0.95,0.955,0.942
0.999,0.916,0.944,0.949,0.933,0.95,0.952,0.94,0.95,0.956,0.943
1.0,0.936,0.946,0.953,0.944,0.963,0.954,0.958,0.958,0.935,0.956
1.0,0.91,0.949,0.946,0.957,0.944,0.95,0.957,0.96,0.96,0.948
0.999,0.934,0.947,0.948,0.951,0.947,0.955,0.96,0.951,0.949,0.948
1.0,0.934,0.951,0.937,0.949,0.952,0.947,0.95,0.948,0.956,0.951
1.0,0.947,0.951,0.956,0.954,0.96,0.955,0.953,0.95,0.938,0.954
1.0,0.924,0.934,0.946,0.936,0.936,0.94,0.955,0.946,0.945,0.945
1.0,0.941,0.943,0.951,0.955,0.947,0.946,0.959,0.958,0.953,0.95
1.0,0.935,0.942,0.957,0.947,0.949,0.948,0.954,0.949,0.949,0.945
1.0,0.929,0.94,0.946,0.937,0.947,0.95,0.944,0.95,0.941,0.939
1.0,0.948,0.94,0.944,0.945,0.95,0.947,0.949,0.941,0.939,0.943
1.0,0.936,0.954,0.95,0.942,0.956,0.948,0.953,0.948,0.948,0.949
1.0,0.935,0.925,0.943,0.967,0.939,0.939,0.946,0.945,0.939,0.948
1.0,0.938,0.945,0.96,0.949,0.953,0.953,0.952,0.956,0.961,0.959
1.0,0.936,0.959,0.948,0.931,0.951,0.945,0.936,0.946,0.943,0.955
1.0,0.938,0.948,0.948,0.946,0.935,0.944,0.947,0.952,0.934,0.951
1.0,0.937,0.951,0.946,0.954,0.943,0.94,0.954,0.961,0.942,0.943
1.0,0.945,0.949,0.943,0.955,0.96,0.969,0.946,0.952,0.956,0.95
1.0,0.945,0.963,0.955,0.959,0.946,0.939,0.961,0.944,0.952,0.958
1.0,0.946,0.957,0.953,0.95,0.966,0.952,0.953,0.955,0.951,0.946
0.999,0.925,0.945,0.958,0.945,0.95,0.939,0.948,0.95,0.936,0.948
1.0,0.938,0.931,0.954,0.945,0.96,0.936,0.952,0.954,0.946,0.951
1.0,0.944,0.947,0.949,0.951,0.943,0.956,0.959,0.952,0.954,0.949
1.0,0.948,0.954,0.951,0.953,0.951,0.952,0.947,0.933,0.959,0.947
1.0,0.924,0.946,0.957,0.951,0.94,0.953,0.951,0.954,0.941,0.94
1.0,0.942,0.941,0.952,0.949,0.948,0.951,0.954,0.948,0.962,0.949
1.0,0.935,0.963,0.952,0.948,0.948,0.946,0.947,0.953,0.96,0.954
1.0,0.934,0.941,0.954,0.95,0.949,0.954,0.952,0.953,0.948,0.956
