"","price","CBD","images","land","school","station","room","suburb","date","year"
"1",-0.741379405623819,-1.09818875248026,1.29203677436489,-1.854028626676,1.31662723724362,1.14629990917952,-0.194085104482872,"CRAIGIEBURN",2019-03-30,"2019"
"2",-1.35649570281534,-1.33430485499047,-0.506744224872605,-2.05309968193758,-1.48691354413257,0.23698263455545,-0.834511114774718,"CRAIGIEBURN",2019-03-20,"2019"
"3",-0.896657463020181,-1.1614565514831,-0.294068501965208,-1.09342556670065,0.322359410074775,0.734896487001951,-0.194085104482872,"CRAIGIEBURN",2019-03-20,"2019"
"4",-0.365597231768283,-1.02594599739764,1.66478594594,-1.09342556670065,1.64627026296366,1.07304274214222,0.406584369537423,"CRAIGIEBURN",2019-03-18,"2019"
"5",-1.03282363271726,-1.26317063004283,0.321878114832717,-1.44952555095287,0.0292329189927439,0.39941681784093,-0.194085104482872,"CRAIGIEBURN",2019-03-16,"2019"
"6",-0.155297558859895,-1.35233398926426,0.911144428749986,-1.10700842508109,0.286439698082468,0.646691547395329,0.974013869005706,"CRAIGIEBURN",2019-03-13,"2019"
"7",-0.98306360691709,-1.53587507339232,-0.945927024980093,0.114180012861486,-1.8290879972121,0.153391287747215,-0.194085104482872,"CRAIGIEBURN",2019-03-13,"2019"
"8",-0.776853834725249,-1.37273622696923,-0.294068501965208,-1.44952555095287,0.103775333983703,0.0658959542741747,0.406584369537423,"CRAIGIEBURN",2019-03-09,"2019"
"9",-1.68356747726449,-1.13811149402145,-0.0853233351642023,-1.6026294291444,1.09785878276067,0.749181374569485,-0.834511114774718,"CRAIGIEBURN",2019-03-09,"2019"
"10",-1.06083846921404,-1.25877616144036,-0.294068501965208,-1.14806810965004,-1.77904959913914,0.671633640199776,-0.194085104482872,"CRAIGIEBURN",2019-03-06,"2019"
"11",-0.115246652735355,-1.28744754558643,-0.0853233351642023,-0.819393241523722,-1.58279182163841,0.877214554651123,0.406584369537423,"CRAIGIEBURN",2019-02-28,"2019"
"12",-1.7957173472642,-1.32084805926978,-0.506744224872605,-1.44952555095287,-0.984143266337151,0.532632148004238,-0.834511114774718,"CRAIGIEBURN",2019-02-26,"2019"
"13",-0.843946101071029,-1.25000513234982,-0.294068501965208,-1.47207101925602,0.533779929641251,0.422306387096084,-0.834511114774718,"CRAIGIEBURN",2019-02-19,"2019"
"14",-1.75320764520251,-1.45330319579226,-0.506744224872605,-2.18018486272662,-0.199730242180293,-0.16064652799899,-0.834511114774718,"CRAIGIEBURN",2019-02-15,"2019"
"15",-0.594285021476673,-1.38640856607774,0.717289969420414,-1.84562863394305,1.587555338478,1.11583612316191,0.406584369537423,"CRAIGIEBURN",2019-02-13,"2019"
"16",-0.891342308546239,-1.55023715626993,-0.945927024980093,0.0351159531675029,0.602744624969367,-0.356399669044144,-0.834511114774718,"CRAIGIEBURN",2019-02-11,"2019"
"17",0.70278892665432,-1.40472724161353,1.10267508636112,-0.10216398082104,0.428934418185636,0.946388365974243,0.406584369537423,"CRAIGIEBURN",2019-02-09,"2019"
"18",0.768590970406051,-0.886307407970783,-0.294068501965208,1.55649724970499,0.738509639906974,-1.50332707077447,-0.194085104482872,"HURSTBRIDGE",2019-03-08,"2019"
"19",0.0488437414230854,-0.836017606385034,-0.945927024980093,2.0083423151141,0.533779929641251,-1.42965140719698,-1.52365649124201,"HURSTBRIDGE",2019-02-25,"2019"
"20",0.0573774617021638,-1.26977356072108,-0.723830524331568,-1.10700842508109,1.40818804290127,1.25591316295202,-0.194085104482872,"DOREEN",2019-03-30,"2019"
"21",0.112303259459541,-1.17212483362577,-1.17380191001978,0.239258159837741,-0.277904998726651,1.41768149816561,-0.194085104482872,"DOREEN",2019-03-30,"2019"
"22",-0.365597231768283,-0.637469244156846,-0.945927024980093,-1.10700842508109,-0.940357338436539,2.10377276591871,0.406584369537423,"DOREEN",2019-03-29,"2019"
"23",-0.317835218555264,-0.767735180317456,-1.40847111006893,-1.44952555095287,-0.683798309502192,1.94762143589496,-0.194085104482872,"DOREEN",2019-03-27,"2019"
"24",-0.792195612546727,-1.1170367341228,-0.506744224872605,-1.84562863394305,-0.396987332837974,1.46517359870159,-0.194085104482872,"DOREEN",2019-03-24,"2019"
"25",-0.807621468966687,-1.08568569011318,-1.17380191001978,-1.62618174062,-1.43951637937487,1.52944715934501,0.406584369537423,"DOREEN",2019-03-19,"2019"
"26",0.600094109421513,-0.635674823290908,-1.17380191001978,-0.133360835955933,0.936975424805096,2.12248939640472,0.406584369537423,"DOREEN",2019-03-18,"2019"
"27",0.0387873805055738,-0.700971371240253,-1.65133493845809,-1.44952555095287,-0.238698337800784,2.03751266701232,0.406584369537423,"DOREEN",2019-03-15,"2019"
"28",1.09230044926592,-0.851403074146932,0.717289969420414,0.00503701714736874,1.34729015684499,1.82999884591863,0.406584369537423,"DOREEN",2019-03-13,"2019"
"29",0.184505410148669,-0.684511632658573,-0.506744224872605,-1.10700842508109,-1.07263296818316,2.05272415746815,-0.194085104482872,"DOREEN",2019-03-13,"2019"
"30",-0.589515112445374,-1.27639000243826,-0.506744224872605,-0.582177482833565,0.636953453280144,1.23096366142447,0.406584369537423,"DOREEN",2019-03-08,"2019"
"31",-0.546959004853467,-1.12544981965836,-0.0853233351642023,-1.64197177497876,-1.39247302665824,1.45891953386125,0.406584369537423,"DOREEN",2019-03-08,"2019"
"32",0.0328083249477516,-1.0382127964033,-2.77515922273167,-1.43457482029282,-1.39247302665824,1.60854692641781,0.406584369537423,"DOREEN",2019-03-06,"2019"
