0.117,0.163,0.274,0.393,0.701,0.717,0.655
0.373,0.487,0.704,0.81,0.89,0.866,0.84
0.538,0.649,0.811,0.913,0.904,0.883,0.881
0.626,0.708,0.848,0.929,0.925,0.895,0.897
0.681,0.752,0.897,0.935,0.917,0.904,0.908
0.744,0.813,0.905,0.937,0.92,0.927,0.91
0.761,0.824,0.914,0.941,0.948,0.923,0.922
0.772,0.845,0.916,0.947,0.931,0.925,0.934
0.774,0.838,0.918,0.942,0.928,0.934,0.915
0.816,0.887,0.932,0.923,0.928,0.926,0.922
0.81,0.858,0.934,0.957,0.934,0.936,0.93
0.826,0.869,0.942,0.943,0.922,0.931,0.929
0.822,0.887,0.947,0.95,0.937,0.924,0.926
0.842,0.873,0.946,0.948,0.937,0.929,0.922
0.844,0.889,0.953,0.952,0.945,0.939,0.934
0.852,0.893,0.939,0.938,0.936,0.924,0.928
0.864,0.879,0.931,0.944,0.936,0.941,0.927
0.861,0.91,0.935,0.947,0.936,0.93,0.94
0.883,0.903,0.944,0.941,0.953,0.929,0.946
0.857,0.9,0.943,0.953,0.945,0.947,0.948
