0.95,0.941,0.91,0.916,0.916,0.935,0.948,0.943,0.947,0.946,0.957
0.932,0.933,0.912,0.918,0.953,0.932,0.938,0.951,0.94,0.949,0.945
0.918,0.932,0.921,0.935,0.947,0.945,0.945,0.943,0.938,0.957,0.959
0.93,0.927,0.917,0.925,0.923,0.948,0.955,0.946,0.957,0.951,0.948
0.917,0.935,0.919,0.932,0.95,0.942,0.938,0.947,0.948,0.943,0.955
0.911,0.908,0.937,0.942,0.952,0.939,0.956,0.939,0.95,0.954,0.952
0.921,0.925,0.94,0.919,0.952,0.947,0.95,0.948,0.949,0.961,0.948
0.904,0.933,0.945,0.941,0.948,0.948,0.947,0.953,0.946,0.945,0.95
0.914,0.932,0.939,0.941,0.949,0.952,0.949,0.932,0.945,0.96,0.949
0.927,0.935,0.939,0.933,0.95,0.938,0.956,0.947,0.95,0.965,0.959
0.923,0.932,0.935,0.937,0.945,0.937,0.949,0.956,0.96,0.942,0.95
0.912,0.928,0.94,0.96,0.937,0.947,0.954,0.956,0.96,0.957,0.956
0.93,0.929,0.93,0.93,0.949,0.942,0.938,0.948,0.96,0.951,0.939
0.928,0.937,0.925,0.948,0.956,0.94,0.945,0.943,0.951,0.947,0.945
0.923,0.93,0.949,0.943,0.95,0.958,0.958,0.966,0.948,0.951,0.957
0.925,0.934,0.938,0.955,0.956,0.93,0.958,0.952,0.949,0.951,0.945
0.933,0.935,0.938,0.959,0.944,0.942,0.95,0.957,0.95,0.947,0.946
0.91,0.945,0.933,0.945,0.945,0.945,0.951,0.947,0.952,0.944,0.96
0.925,0.93,0.927,0.933,0.946,0.963,0.96,0.946,0.95,0.951,0.944
0.928,0.931,0.931,0.938,0.944,0.957,0.947,0.945,0.939,0.937,0.959
0.936,0.937,0.928,0.947,0.95,0.949,0.956,0.96,0.958,0.954,0.941
0.934,0.936,0.946,0.95,0.948,0.94,0.939,0.942,0.954,0.951,0.95
0.927,0.933,0.937,0.952,0.949,0.942,0.956,0.945,0.958,0.94,0.946
0.929,0.946,0.947,0.949,0.936,0.946,0.96,0.946,0.935,0.947,0.954
0.936,0.947,0.938,0.948,0.949,0.936,0.945,0.952,0.952,0.952,0.948
0.936,0.938,0.946,0.936,0.946,0.948,0.958,0.954,0.954,0.951,0.945
0.935,0.935,0.927,0.946,0.943,0.949,0.952,0.959,0.95,0.949,0.947
0.932,0.937,0.941,0.952,0.934,0.956,0.942,0.954,0.941,0.947,0.951
0.937,0.942,0.932,0.954,0.938,0.945,0.959,0.949,0.952,0.948,0.94
0.926,0.943,0.952,0.939,0.948,0.96,0.945,0.943,0.949,0.95,0.95
0.919,0.948,0.932,0.952,0.951,0.952,0.947,0.952,0.961,0.953,0.936
0.937,0.929,0.964,0.945,0.936,0.95,0.956,0.955,0.949,0.955,0.95
0.927,0.935,0.936,0.939,0.949,0.956,0.95,0.948,0.937,0.946,0.955
0.928,0.953,0.942,0.952,0.947,0.943,0.958,0.955,0.937,0.951,0.96
0.927,0.94,0.938,0.95,0.954,0.949,0.946,0.951,0.958,0.961,0.945
0.92,0.939,0.944,0.939,0.942,0.951,0.948,0.96,0.941,0.952,0.953
0.931,0.951,0.949,0.943,0.948,0.954,0.949,0.956,0.961,0.943,0.961
0.935,0.933,0.944,0.939,0.944,0.951,0.944,0.946,0.957,0.956,0.948
0.93,0.935,0.94,0.939,0.943,0.957,0.952,0.953,0.931,0.958,0.958
0.924,0.946,0.944,0.948,0.951,0.941,0.952,0.958,0.956,0.945,0.95
0.942,0.937,0.948,0.951,0.943,0.944,0.945,0.96,0.95,0.95,0.958
0.932,0.938,0.93,0.943,0.961,0.962,0.956,0.955,0.955,0.943,0.947
0.926,0.935,0.956,0.932,0.947,0.956,0.961,0.957,0.956,0.943,0.953
0.931,0.923,0.937,0.951,0.956,0.948,0.955,0.945,0.959,0.948,0.95
0.941,0.926,0.958,0.952,0.938,0.96,0.956,0.943,0.944,0.947,0.95
0.939,0.945,0.939,0.952,0.946,0.957,0.949,0.954,0.951,0.967,0.952
0.931,0.923,0.941,0.951,0.939,0.962,0.948,0.958,0.946,0.953,0.951
0.95,0.932,0.948,0.964,0.959,0.937,0.952,0.943,0.954,0.953,0.947
0.92,0.939,0.948,0.932,0.948,0.961,0.943,0.956,0.944,0.944,0.951
0.926,0.944,0.935,0.954,0.948,0.962,0.955,0.938,0.937,0.94,0.946
