0.853,0.908,0.953,0.933,0.935,0.94,0.95
0.895,0.943,0.948,0.938,0.939,0.938,0.925
0.907,0.922,0.947,0.941,0.949,0.949,0.934
0.94,0.937,0.947,0.937,0.938,0.957,0.959
0.942,0.948,0.939,0.944,0.954,0.941,0.95
0.927,0.931,0.948,0.962,0.953,0.946,0.941
0.936,0.942,0.943,0.938,0.944,0.95,0.948
0.938,0.949,0.941,0.953,0.944,0.951,0.947
0.925,0.928,0.942,0.957,0.957,0.944,0.955
0.943,0.94,0.951,0.954,0.949,0.944,0.936
0.939,0.942,0.947,0.956,0.949,0.942,0.938
0.937,0.932,0.963,0.954,0.944,0.945,0.95
0.934,0.946,0.954,0.945,0.929,0.947,0.946
0.949,0.94,0.952,0.95,0.931,0.948,0.959
0.946,0.95,0.943,0.948,0.961,0.956,0.945
0.936,0.942,0.941,0.957,0.95,0.955,0.937
0.949,0.933,0.951,0.949,0.946,0.946,0.948
0.94,0.944,0.946,0.951,0.946,0.956,0.944
0.94,0.956,0.959,0.955,0.937,0.933,0.951
0.949,0.953,0.944,0.961,0.952,0.938,0.954
